threshold,f1_score,precision,recall
-0.4228322,0.7299270072992701,0.5747126436781609,1.0
-0.42659414,0.7272727272727273,0.5714285714285714,1.0
-0.42771912,0.7246376811594203,0.5681818181818182,1.0
-0.42786485,0.7220216606498194,0.5649717514124294,1.0
-0.43104643,0.7194244604316548,0.5617977528089888,1.0
-0.43982214,0.7168458781362006,0.5586592178770949,1.0
-0.44531006,0.7142857142857143,0.5555555555555556,1.0
-0.4459322,0.7092198581560284,0.5494505494505495,1.0
-0.4598421,0.7067137809187279,0.546448087431694,1.0
-0.46274322,0.704225352112676,0.5434782608695652,1.0
-0.47204065,0.7017543859649124,0.5405405405405406,1.0
-0.4751162,0.6993006993006993,0.5376344086021505,1.0
-0.47631967,0.6968641114982579,0.5347593582887701,1.0
-0.4766584,0.6944444444444444,0.5319148936170213,1.0
-0.49236512,0.6920415224913494,0.5291005291005291,1.0
-0.50279975,0.6896551724137931,0.5263157894736842,1.0
-0.5055127,0.6872852233676976,0.5235602094240838,1.0
-0.5220209,0.684931506849315,0.5208333333333334,1.0
-0.5298894,0.68259385665529,0.5181347150259067,1.0
-0.53181714,0.6779661016949152,0.5128205128205128,1.0
-0.5343315,0.6756756756756758,0.5102040816326531,1.0
-0.56236166,0.6711409395973155,0.5050505050505051,1.0
-0.60485333,0.6688963210702341,0.5025125628140703,1.0
-0.60698146,0.6666666666666666,0.5,1.0
