threshold,f1_score
-0.48355114,0.7518796992481204
-0.48787045,0.7462686567164178
-0.5006496,0.7407407407407407
-0.500778,0.7352941176470588
-0.50330627,0.7299270072992701
-0.513644,0.7246376811594203
-0.52569187,0.7194244604316548
-0.5295733,0.7142857142857143
-0.53523004,0.7092198581560284
-0.54699993,0.704225352112676
-0.56154907,0.6993006993006993
-0.5873236,0.6944444444444444
-0.60325086,0.684931506849315
-0.606593,0.6802721088435374
-0.61403286,0.6756756756756758
-0.6668891,0.6711409395973155
-0.7051126,0.6666666666666666
