fold,mappable_precision,mappable_recall,mappable_f1,top1_accuracy,top3_accuracy,top5_accuracy,mrr,threshold,target_pool_size,test_samples,mappable_samples,non_mappable_samples,predicted_mappable,predicted_non_mappable,sme_workload_reduction,sme_hours_saved_per_1000
fixed_threshold,0.0,0.0,0.0,0.0,0.0,0.0,,0.8,4.0,188.0,20.0,168.0,0.0,188.0,0.8936170212765957,44.680851063829785
fold0,0.5416666666666666,0.65,0.5909090909090908,0.55,0.6,0.6,0.9444444444444444,-0.5390254,4.0,188.0,20.0,168.0,24.0,164.0,0.8351063829787234,41.755319148936174
fold1,0.5652173913043478,0.65,0.6046511627906976,0.55,0.6,0.6,0.9444444444444444,-0.5014637,4.0,188.0,20.0,168.0,23.0,165.0,0.8404255319148937,42.02127659574469
fold2,0.6,0.6,0.6,0.5,0.55,0.55,0.9393939393939394,-0.46924365,4.0,188.0,20.0,168.0,20.0,168.0,0.851063829787234,42.5531914893617
fold3,0.5714285714285714,0.6,0.5853658536585366,0.5,0.55,0.55,0.9393939393939394,-0.50585705,4.0,188.0,20.0,168.0,21.0,167.0,0.8457446808510638,42.287234042553195
fold4,0.5789473684210527,0.55,0.5641025641025641,0.45,0.5,0.5,0.9333333333333332,-0.4445976,4.0,188.0,20.0,168.0,19.0,169.0,0.851063829787234,42.5531914893617
negative_mining,0.08,1.0,0.1481481481481481,0.6428571428571429,0.7142857142857143,0.7857142857142857,,-0.90239394,,,,,,,,
average,0.4196085711172341,0.5785714285714285,0.44188240280129104,0.4561224489795918,0.5020408163265306,0.5122448979591837,0.9402020202020202,-0.3660830485714285,4.0,188.0,20.0,168.0,17.833333333333332,170.16666666666666,0.8528368794326241,42.641843971631204
